image_name,comment_number,comment
1000092795.jpg, 0, Two young guys with shaggy hair look at their hands while hanging out in the yard .
1000092795.jpg, 1, Two young 
1000092795.jpg, 2, Two men in green shirts are standing in a yard .
1000092795.jpg, 3, A man in a blue shirt standing in a garden .
1000092795.jpg, 4, Two friends enjoy time spent together .
10002456.jpg, 0, Several men in hard hats are operating a giant pulley system .
10002456.jpg, 1, Workers look down from up above on a piece of equipment .
10002456.jpg, 2, Two men working on a machine wearing hard hats .
10002456.jpg, 3, Four men on top of a tall structure .
10002456.jpg, 4, Three men on a large rig .
1000268201.jpg, 0, A child in a pink dress is climbing up a set of stairs in an entry way .
1000268201.jpg, 1, A little girl in a pink dress going into a wooden cabin .
1000268201.jpg, 2, A little girl climbing the stairs to her playhouse .
1000268201.jpg, 3, A little girl climbing into a wooden playhouse 
1000268201.jpg, 4, A girl going into a wooden building .
1000344755.jpg, 0, Someone in a blue shirt and hat is standing on stair and leaning against a window .
1000344755.jpg, 1, A man in a blue shirt is standing on a ladder cleaning a window .
1000344755.jpg, 2, A man on a ladder cleans the window of a tall building .
1000344755.jpg, 3, man in blue shirt and jeans on ladder cleaning windows
1000344755.jpg, 4, a man on a ladder cleans a window
1000366164.jpg, 0, Two men 
1000366164.jpg, 1, Two guy cooking and joking around with the camera .
1000366164.jpg, 2, Two men in a kitchen cooking food on a stove .
1000366164.jpg, 3, Two men are at the stove preparing food .
1000366164.jpg, 4, Two men are cooking a meal .
1000523639.jpg, 0, Two people in the photo are playing the guitar and the other is poking at him .
1000523639.jpg, 1, A man in green holds a guitar while the other man observes his shirt .
1000523639.jpg, 2, A man is fixing the guitar players costume .
1000523639.jpg, 3, a guy stitching up another man 's coat .
1000523639.jpg, 4, the two boys playing guitar
1000919630.jpg, 0, A man sits in a chair while holding a large stuffed animal of a lion .
1000919630.jpg, 1, A man is sitting on a chair holding a large stuffed animal .
1000919630.jpg, 2, A man completes the finishing touches on a stuffed lion .
1000919630.jpg, 3, A man holds a large stuffed lion toy .
1000919630.jpg, 4, A man is smiling at a stuffed lion
